1,Usuario1,user1,senha1,cliente
2,Usuario2,user2,senha2,funcionario
3,Usuario3,user3,senha3,cliente
4,Usuario4,user4,senha4,gerente
5,Usuario5,user5,senha5,estagiario
6,Usuario6,user6,senha6,funcionario
7,Usuario7,user7,senha7,cliente
8,Usuario8,user8,senha8,estagiario
9,Usuario9,user9,senha9,gerente
10,Usuario10,user10,senha10,funcionario
11,Usuario11,user11,senha11,cliente
12,Usuario12,user12,senha12,gerente
13,Usuario13,user13,senha13,cliente
14,Usuario14,user14,senha14,funcionario
15,Usuario15,user15,senha15,estagiario
16,Usuario16,user16,senha16,gerente
17,Usuario17,user17,senha17,funcionario
18,Usuario18,user18,senha18,estagiario
19,Usuario19,user19,senha19,funcionario
20,Usuario20,user20,senha20,gerente
21,Usuario21,user21,senha21,gerente
22,Usuario22,user22,senha22,cliente
23,Usuario23,user23,senha23,funcionario
24,Usuario24,user24,senha24,estagiario
25,Usuario25,user25,senha25,cliente
26,Usuario26,user26,senha26,cliente
27,Usuario27,user27,senha27,estagiario
28,Usuario28,user28,senha28,cliente
29,Usuario29,user29,senha29,estagiario
30,Usuario30,user30,senha30,gerente
31,Usuario31,user31,senha31,estagiario
32,Usuario32,user32,senha32,gerente
33,Usuario33,user33,senha33,estagiario
34,Usuario34,user34,senha34,funcionario
35,Usuario35,user35,senha35,cliente
36,Usuario36,user36,senha36,gerente
37,Usuario37,user37,senha37,cliente
38,Usuario38,user38,senha38,funcionario
39,Usuario39,user39,senha39,funcionario
40,Usuario40,user40,senha40,estagiario
41,Usuario41,user41,senha41,funcionario
42,Usuario42,user42,senha42,gerente
43,Usuario43,user43,senha43,gerente
44,Usuario44,user44,senha44,estagiario
45,Usuario45,user45,senha45,gerente
46,Usuario46,user46,senha46,cliente
47,Usuario47,user47,senha47,estagiario
48,Usuario48,user48,senha48,cliente
49,Usuario49,user49,senha49,gerente
50,Usuario50,user50,senha50,cliente
51,Usuario51,user51,senha51,cliente
52,Usuario52,user52,senha52,gerente
53,Usuario53,user53,senha53,funcionario
54,Usuario54,user54,senha54,cliente
55,Usuario55,user55,senha55,estagiario
56,Usuario56,user56,senha56,cliente
57,Usuario57,user57,senha57,gerente
58,Usuario58,user58,senha58,estagiario
59,Usuario59,user59,senha59,estagiario
60,Usuario60,user60,senha60,funcionario
61,Usuario61,user61,senha61,cliente
62,Usuario62,user62,senha62,estagiario
63,Usuario63,user63,senha63,estagiario
64,Usuario64,user64,senha64,gerente
65,Usuario65,user65,senha65,gerente
66,Usuario66,user66,senha66,gerente
67,Usuario67,user67,senha67,cliente
68,Usuario68,user68,senha68,funcionario
69,Usuario69,user69,senha69,funcionario
70,Usuario70,user70,senha70,funcionario
71,Usuario71,user71,senha71,funcionario
72,Usuario72,user72,senha72,cliente
73,Usuario73,user73,senha73,estagiario
74,Usuario74,user74,senha74,estagiario
75,Usuario75,user75,senha75,funcionario
76,Usuario76,user76,senha76,gerente
77,Usuario77,user77,senha77,cliente
78,Usuario78,user78,senha78,gerente
79,Usuario79,user79,senha79,estagiario
80,Usuario80,user80,senha80,estagiario
81,Usuario81,user81,senha81,funcionario
82,Usuario82,user82,senha82,gerente
83,Usuario83,user83,senha83,gerente
84,Usuario84,user84,senha84,gerente
85,Usuario85,user85,senha85,gerente
86,Usuario86,user86,senha86,cliente
87,Usuario87,user87,senha87,cliente
88,Usuario88,user88,senha88,cliente
89,Usuario89,user89,senha89,funcionario
90,Usuario90,user90,senha90,funcionario
91,Usuario91,user91,senha91,cliente
92,Usuario92,user92,senha92,cliente
